cohort,n,duration_min_median,mean_hr_median,rmssd_median,vertical_rms_median,impact_rate_median,physiology_axis_median,mechanical_shock_axis_median,autonomic_gated_mechanical_shock_axis_median,msk_load_path_axis_median,msk_coupled_shock_axis_median,passive_exposure_axis_median,passive_upright_exposure_axis_median,active_control_loss_axis_median,functional_output_burden_axis_median,context_duration_axis_median,complexity_fractal_axis_median,cross_domain_mismatch_axis_median,fsi_tensor_v0_3_score_median,impact_pain_burden_proxy_v0_3_median,burden_band_v0_3,cohort_label,quick_interpretation,functional_mobility_efficiency_score_median,rank
readiness_baseline,35,2.9986,53.0935,35.7037,14.1375,58.226,0.0092,0.1929,0.127075,0.1349,0.1161895,0.0786,0.042331354,0.05,0.0875,0.1025,0.6745,0.0342,0.10328449,0.093389674,Reference / very light,Readiness baseline,"Reference baseline, not a mobility comparator.",0,1
mall_skating,7,33.0798,78.5997,30.0442,66.7587,20.8371,0.2834,0.2224,0.204222909,0.199,0.196887244,0.0845,0.053445669,0.1,0.1625,0.187,0.7858,0.0288,0.191509274,0.187731168,Reference / very light,Mall skating,Lowest active mobility burden in the current cohort summary.,0.809366661,2
pt_skating,30,17.1186,91.38775,22.84145,125.8203,35.06475,0.4465,0.51815,0.506663746,0.3697,0.432648423,0.14365,0.100020154,0.15,0.2375,0.252,0.81555,0.0752,0.338758295,0.363970907,Light controlled,PT skating,Controlled therapeutic skating remains lower burden than walking.,0.286783652,3
silverride_front_seat,3,30.8874,91.3318,41.6622,111.459,16.7697,0.3216,0.3255,0.27336792,0.3914,0.354819921,0.4251,0.324500457,0.65,0.3125,0.33,0.7924,0.0796,0.348375479,0.312815406,Light controlled,SilverRide front seat,Lower passive transport burden than bus/van in this record.,0.186308262,4
walking,7,6.1338,72.0601,19.8455,123.4576,27.589,0.3186,0.4546,0.389890732,0.7349,0.545133583,0.1309,0.108802568,0.55,0.8812,0.6987,0.8104,0.2443,0.442886421,0.418672426,Moderate,Walking,Short-duration ballistic walking ranks higher than controlled skating.,0.076272663,5
motorcycle,6,29.6908,78.00765,20.8908,226.98935,51.2183,0.38815,0.84155,0.784572562,0.5461,0.662478222,0.28835,0.213505834,0.2,0.2375,0.33435,0.67915,0.2207,0.464848785,0.524743522,Moderate,Motorcycle,"Active controlled transport, not low burden.",0.196145091,6
fns_sns_skating,12,138.8324,120.8617,39.59875,250.2619,23.08175,0.5751,0.7163,0.748455301,0.48,0.643057105,0.18325,0.136765939,0.15,0.2,0.6425,0.61975,0.0911,0.466527819,0.520861591,Moderate,FNS/SNS skating,Long-duration skating is not low burden; interpret with functional output.,0.290843818,7
paratransit_sedan,11,37.9491,98.0163,37.4062,125.4089,28.2802,0.3903,0.3878,0.442716094,0.5662,0.604350703,0.5976,0.541453831,0.75,0.4821,0.4224,0.7102,0.1921,0.515888859,0.507925442,Heavy,ParaTransit sedan,Passive transport burden remains materially above controlled skating.,0.06466991,8
paratransit_bus,9,40.7765,82.5231,43.6295,177.1802,30.4987,0.2378,0.5958,0.489794354,0.7478,0.652209293,0.7992,0.71253617,0.9,0.6377,0.5278,0.7301,0.308,0.579274539,0.56060861,Heavy,ParaTransit bus,High passive upright MSK shock exposure cohort.,0.032438186,9
paratransit_van,3,41.0341,78.0986,17.7956,162.6929,31.3902,0.417,0.4628,0.37525296,0.7781,0.655900003,0.8126,0.753145463,0.9,0.6757,0.561,0.6567,0.2507,0.603177717,0.578742333,Heavy,ParaTransit van,High passive upright MSK shock exposure cohort.,0.032084057,10
