cohort,duration_min,mean_hr,max_hr,rmssd,sdnn,vertical_rms,acc_rms,impact_rate,peak_abs,accel_fsi,vertical_fsi,rri_fsi,css_accel_rri,physiology_axis,mechanical_shock_axis,pelvic_si_load_path_axis,passive_exposure_axis,active_control_loss_axis,functional_output_burden_axis,context_duration_axis,complexity_fractal_axis,cross_domain_mismatch_axis,fsi_tensor_v0_2_score,impact_pain_burden_proxy_v0_2,component_entropy,legacy_fsi_norm,autonomic_modifier,autonomic_gated_mechanical_shock_axis,pelvic_si_coupled_shock_axis,passive_upright_exposure_axis,fsi_tensor_v0_3_score,impact_pain_burden_proxy_v0_3,burden_band_v0_3
motorcycle,29.1242,74.3025,162.1622,19.6552,38.5172,252.7179,150.7511,79.7791,2445.9981,0.1933,0.0614,0.0204,0.7548,0.3645,0.9395,0.615,0.3079,0.2,0.2375,0.3328,0.6126,0.2609,0.504,0.5459,0.9272,0.2282,0.90515,0.850388425,0.7257897787500001,0.23114178084375003,0.485916188376875,0.5549873960437501,Moderate
motorcycle,31.1026,70.2191,84.6262,32.8037,42.7088,228.0497,144.4773,79.7938,2501.2898,0.1984,0.1039,0.2358,0.8009,0.1675,0.906,0.5985,0.3012,0.2,0.2375,0.3383,0.7801,0.2862,0.4617,0.4869,0.9099,0.6216,0.76725,0.6951285,0.60151134375,0.21169199126250005,0.40358118405225,0.44544892637750005,Moderate
motorcycle,29.706,87.4569,102.3891,21.5958,33.0681,233.2,139.9904,52.9894,3005.5821,0.2039,0.0696,0.134,0.8169,0.4407,0.8323,0.5524,0.2865,0.2,0.2375,0.3344,0.7097,0.2013,0.4843,0.5156,0.9416,0.4263,0.9584900000000001,0.7977512270000001,0.68457648395,0.2153196769365,0.47714558917757,0.5377296873223001,Moderate
motorcycle,29.6756,83.604,99.3377,19.5662,33.2177,195.7739,149.0609,48.1798,4929.3346,0.1329,0.0541,0.1272,0.8197,0.4368,0.8071,0.5164,0.2814,0.2,0.2375,0.3343,0.6344,0.1919,0.4672,0.498,0.9448,0.2549,0.9557599999999999,0.771393896,0.6523502084,0.2086358311296,0.46097839673132796,0.5195507027459201,Moderate
motorcycle,28.6131,81.3612,161.2903,20.1858,38.7373,225.929,141.9619,49.4472,5756.3726,0.0854,0.0468,0.1711,0.8598,0.4118,0.8508,0.5398,0.2902,0.2,0.2375,0.3314,0.6486,0.2146,0.4781,0.5111,0.9397,0.2928,0.93826,0.798271608,0.672606235,0.21533284673460007,0.468719173552228,0.5299363418469201,Moderate
motorcycle,31.9072,74.6541,218.9781,73.5482,77.3126,193.7691,135.9661,44.5875,3646.8322,0.1742,0.1247,0.2153,0.8541,0.1649,0.7583,0.5074,0.2717,0.2,0.2375,0.3405,0.773,0.2268,0.4073,0.4194,0.93,0.5812,0.76543,0.580425569,0.5074040561500001,0.18492651063315005,0.355116266686967,0.38279791122163,Moderate
pt_skating,3.03,0.0,0.0,0.0,0.0,15.4042,4.3746,73.5149,47.8032,0.2708,0.0401,0.0,0.0,0.45,0.2457,0.3771,0.0891,0.15,0.2375,0.252,0.6685,0.0602,0.2955,0.2954,0.9474,0.3277,0.9650000000000001,0.23710050000000002,0.31753305,0.06218062908750001,0.25654387423575,0.2582211658175,Light controlled
pt_skating,9.0506,82.9776,95.5414,43.9049,65.3041,128.8169,143.0645,33.2348,748.4454,0.2779,0.0756,0.1508,0.307,0.2286,0.5236,0.3685,0.1447,0.15,0.2375,0.252,0.7938,0.1104,0.3188,0.3175,0.9509,0.6019,0.81002,0.4241264719999999,0.3723917159,0.09420068866275,0.28009606641729495,0.29462927050254994,Light controlled
pt_skating,13.403,93.5615,116.5049,48.3194,55.7831,109.8665,126.3348,35.5888,568.5163,0.3049,0.1196,0.182,0.4085,0.3095,0.4689,0.3606,0.1338,0.15,0.2375,0.252,0.8722,0.0761,0.3229,0.3181,0.9589,0.7663,0.86665,0.406372185,0.37080617775,0.08902495759950001,0.28907784477291,0.3008148910949,Light controlled
pt_skating,10.2758,87.0976,98.5222,58.4563,57.5897,123.6554,140.3617,32.6528,703.618,0.3204,0.0711,0.1497,0.2613,0.2601,0.5073,0.3638,0.1415,0.15,0.2375,0.252,0.8116,0.0987,0.3207,0.3187,0.9546,0.6368,0.83207,0.422109111,0.37341798625,0.09285360583275,0.284624246004895,0.29888839479155,Light controlled
