date,route_title,route_url,substantial_weather_flag,rain_between_9pm_midnight,downtown_daily_rain,rain_category,daily_rain_category,window_precip_inches,max_hourly_precip_inches,rain_hours,daily_precip_inches,temp_mean_f,temp_min_f,temp_max_f,temp_category,dew_point_mean_f,relative_humidity_mean_pct,wind_speed_mean_mph,wind_speed_max_mph,wind_gust_max_mph,wind_direction_mean_deg,wind_category,visibility_min_miles,visibility_mean_miles,visibility_category,sky_conditions_summary,present_weather_summary,weather_window_start_local,weather_window_end_local,weather_hourly_available,weather_hourly_observed_hours,weather_hourly_station_id,weather_hourly_station_name,weather_hourly_station_lat,weather_hourly_station_lon,daily_station_id,daily_station_name,daily_station_lat,daily_station_lon,weather_evidence_level,weather_evidence_note,source_text,activity_id,activity_start_local,activity_end_local,weather_source,weather_provider,weather_station,weather_coverage_status,weather_missing_reason,weather_observation_time_local,weather_condition_raw,precipitation_type_raw,precipitation_intensity_inches_per_hour
2020-12-19,20:38:05 - SNS,https://handicapskater.com/common/maps/20201219-20_38_05-SNS-4493921718.html,False,False,False,No recorded rain from 9 PM to midnight,No downtown daily rain,0.0,0.0,0,0.0,53.0,47.0,61.0,Cool,43.142857142857146,70.14285714285714,5.142857142857143,10.0,,245.0784789212554,Breezy,10.0,10.0,Good visibility,FEW:02 200 (3); SCT:04 200 SCT:04 250 (2); FEW:02 200 FEW:02 250 (1),,2020-12-19T21:00:00-08:00,2020-12-19T23:59:59-08:00,True,7,UNKNOWN,Unknown hourly station,,,USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",37.7705,-122.4269,Hourly LCDv2 weather used for 9 PM to midnight,"Skate route '20:38:05 - SNS' occurred on 2020-12-19. Hourly weather from Unknown hourly station (UNKNOWN) was summarized for 9 PM to midnight local time. Mean temperature was 53.0°F (Cool). No hourly precipitation was recorded in the 9 PM to midnight window. Mean wind was 5.1 mph, max wind 10.0 mph, max gust nan mph (Breezy). Minimum visibility was 10.0 miles (Good visibility). Sky conditions: FEW:02 200 (3); SCT:04 200 SCT:04 250 (2); FEW:02 200 FEW:02 250 (1).",2020-12-19 20:38:05 - SNS,4493921718,2020-12-19T20:38:05-08:00,2020-12-19T22:53:04-08:00,NOAA NCEI legacy route weather pipeline,NOAA NCEI,Unknown hourly station,legacy_fixed_local_window,,,,,
2020-12-24,20:42:47 - XNS,https://handicapskater.com/common/maps/20201224-20_42_47-XNS-4514564439.html,False,False,,No precipitation at activity weather observation,Daily precipitation unavailable,,,,,52.88,52.88,52.88,Activity-time point observation,39.02,59,4.0264853257,4.0264853257,6.26342161775,83,Activity-time point observation,9.99972659668,9.99972659668,Activity-time point observation,Cloud cover fraction 0.39,Strava weather condition code 2.0,2020-12-24T20:42:47-08:00,2020-12-24T23:23:40-08:00,True,1,,Unavailable in Strava export,,,,,,,Strava activity-time point weather observation,Activity-time Strava weather observation for 2020-12-24 20:42:47 - XNS: Strava weather condition code 2.0; temperature 52.88 F; wind 4.0264853257 mph; precipitation intensity 0 inches/hour. The upstream provider and station were not supplied by the export.,2020-12-24 20:42:47 - XNS,4514564439,2020-12-24T20:42:47-08:00,2020-12-24T23:23:40-08:00,Strava export activity weather fields,Unavailable in Strava export,Unavailable in Strava export,activity_time_point_observation,,2020-12-24T20:01:04-08:00,2.0,,0
2020-12-25,20:36:26 - Xmas FNS,https://handicapskater.com/common/maps/20201225-20_36_26-Xmas FNS-4517973252.html,True,True,True,Moderate rain from 9 PM to midnight,Moderate downtown daily rain,0.06,0.02,5,0.33,57.857142857142854,57.0,60.0,Mild,50.142857142857146,76.57142857142857,10.571428571428571,18.0,,195.07732941137505,Breezy,6.0,9.0,Reduced visibility,BKN:07 12 OVC:08 21 (1); FEW:02 9 BKN:07 13 (1); FEW:02 9 BKN:07 15 (1); OVC:08 55 (1); OVC:08 45 (1),BR:1 |BR | (1); ||BR (1); -RA:02 |RA |RA (1),2020-12-25T21:00:00-08:00,2020-12-25T23:59:59-08:00,True,8,UNKNOWN,Unknown hourly station,,,USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",37.7705,-122.4269,Hourly LCDv2 weather used for 9 PM to midnight,"Skate route '20:36:26 - Xmas FNS' occurred on 2020-12-25. Hourly weather from Unknown hourly station (UNKNOWN) was summarized for 9 PM to midnight local time. Mean temperature was 57.9°F (Mild). Hourly precipitation totaled 0.060 inches with 5 rainy hour(s), categorized as Moderate rain from 9 PM to midnight. Mean wind was 10.6 mph, max wind 18.0 mph, max gust nan mph (Breezy). Minimum visibility was 6.0 miles (Reduced visibility). Present weather codes/summary: BR:1 |BR | (1); ||BR (1); -RA:02 |RA |RA (1). Sky conditions: BKN:07 12 OVC:08 21 (1); FEW:02 9 BKN:07 13 (1); FEW:02 9 BKN:07 15 (1); OVC:08 55 (1); OVC:08 45 (1). The local downtown station SAN FRANCISCO DOWNTOWN, CA US (USW00023272) recorded 0.330 inches of daily precipitation, categorized as Moderate downtown daily rain.",2020-12-25 20:36:26 - Xmas FNS,4517973252,2020-12-25T20:36:26-08:00,2020-12-25T22:52:52-08:00,NOAA NCEI legacy route weather pipeline,NOAA NCEI,Unknown hourly station,legacy_fixed_local_window,,,,,
2020-12-26,20:37:49 - SNS,https://handicapskater.com/common/maps/20201226-20_37_49-SNS-4522837852.html,False,False,False,No recorded rain from 9 PM to midnight,No downtown daily rain,0.0,0.0,0,0.0,54.42857142857143,49.0,60.0,Cool,46.142857142857146,74.14285714285714,3.7142857142857144,9.0,,239.92267058862495,Calm / light wind,10.0,10.0,Good visibility,BKN:07 200 (2); FEW:02 200 (1); SCT:04 39 BKN:07 200 (1); SCT:04 35 BKN:07 200 (1); FEW:02 35 SCT:04 140 BKN:07 200 (1),,2020-12-26T21:00:00-08:00,2020-12-26T23:59:59-08:00,True,7,UNKNOWN,Unknown hourly station,,,USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",37.7705,-122.4269,Hourly LCDv2 weather used for 9 PM to midnight,"Skate route '20:37:49 - SNS' occurred on 2020-12-26. Hourly weather from Unknown hourly station (UNKNOWN) was summarized for 9 PM to midnight local time. Mean temperature was 54.4°F (Cool). No hourly precipitation was recorded in the 9 PM to midnight window. Mean wind was 3.7 mph, max wind 9.0 mph, max gust nan mph (Calm / light wind). Minimum visibility was 10.0 miles (Good visibility). Sky conditions: BKN:07 200 (2); FEW:02 200 (1); SCT:04 39 BKN:07 200 (1); SCT:04 35 BKN:07 200 (1); FEW:02 35 SCT:04 140 BKN:07 200 (1).",2020-12-26 20:37:49 - SNS,4522837852,2020-12-26T20:37:49-08:00,2020-12-26T22:57:26-08:00,NOAA NCEI legacy route weather pipeline,NOAA NCEI,Unknown hourly station,legacy_fixed_local_window,,,,,
2020-12-31,21:11:03 - ENS,https://handicapskater.com/common/maps/20201231-21_11_03-ENS-4549325088.html,False,False,,No precipitation at activity weather observation,Daily precipitation unavailable,,,,,52.34,52.34,52.34,Activity-time point observation,43.88,73,4.0264853257,4.0264853257,6.26342161775,341,Activity-time point observation,9.99972659668,9.99972659668,Activity-time point observation,Cloud cover fraction 0.21,Strava weather condition code 1.0,2020-12-31T21:11:03-08:00,2020-12-31T23:06:32-08:00,True,1,,Unavailable in Strava export,,,,,,,Strava activity-time point weather observation,Activity-time Strava weather observation for 2020-12-31 21:11:03 - ENS: Strava weather condition code 1.0; temperature 52.34 F; wind 4.0264853257 mph; precipitation intensity 0 inches/hour. The upstream provider and station were not supplied by the export.,2020-12-31 21:11:03 - ENS,4549325088,2020-12-31T21:11:03-08:00,2020-12-31T23:06:32-08:00,Strava export activity weather fields,Unavailable in Strava export,Unavailable in Strava export,activity_time_point_observation,,2020-12-31T21:00:48-08:00,1.0,,0
2021-01-01,20:59:40 - FNS in the Rain,https://handicapskater.com/common/maps/20210101-20_59_40-FNS in the Rain-4552166849.html,True,True,True,Light rain from 9 PM to midnight,Trace / damp pavement downtown daily rain,0.011,0.01,2,0.01,53.0,49.0,58.0,Cool,44.0,72.57142857142857,5.571428571428571,10.0,,246.24009272912826,Breezy,10.0,10.0,Good visibility,SCT:04 160 BKN:07 180 BKN:07 250 (2); FEW:02 65 BKN:07 150 (1); SCT:04 65 OVC:08 80 (1); SCT:04 60 BKN:07 75 OVC:08 90 (1); FEW:02 25 FEW:02 160 SCT:04 180 (1),,2021-01-01T21:00:00-08:00,2021-01-01T23:59:59-08:00,True,8,UNKNOWN,Unknown hourly station,,,USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",37.7705,-122.4269,Hourly LCDv2 weather used for 9 PM to midnight,"Skate route '20:59:40 - FNS in the Rain' occurred on 2021-01-01. Hourly weather from Unknown hourly station (UNKNOWN) was summarized for 9 PM to midnight local time. Mean temperature was 53.0°F (Cool). Hourly precipitation totaled 0.011 inches with 2 rainy hour(s), categorized as Light rain from 9 PM to midnight. Mean wind was 5.6 mph, max wind 10.0 mph, max gust nan mph (Breezy). Minimum visibility was 10.0 miles (Good visibility). Sky conditions: SCT:04 160 BKN:07 180 BKN:07 250 (2); FEW:02 65 BKN:07 150 (1); SCT:04 65 OVC:08 80 (1); SCT:04 60 BKN:07 75 OVC:08 90 (1); FEW:02 25 FEW:02 160 SCT:04 180 (1). The local downtown station SAN FRANCISCO DOWNTOWN, CA US (USW00023272) recorded 0.010 inches of daily precipitation, categorized as Trace / damp pavement downtown daily rain.",2021-01-01 20:59:40 - FNS in the Rain,4552166849,2021-01-01T20:59:40-08:00,2021-01-01T23:30:36-08:00,NOAA NCEI legacy route weather pipeline,NOAA NCEI,Unknown hourly station,legacy_fixed_local_window,,,,,
2021-01-02,20:26:59 - SNS,https://handicapskater.com/common/maps/20210102-20_26_59-SNS-4558021724.html,True,True,True,Light rain from 9 PM to midnight,Light downtown daily rain,0.032,0.02,4,0.2,53.72727272727273,53.0,55.0,Cool,50.81818181818182,89.72727272727273,2.3636363636363638,9.0,,239.85107611658387,Calm / light wind,0.5,2.4,Very low visibility,BKN:07 4 OVC:08 8 (4); SCT:04 6 OVC:08 10 (2); SCT:04 4 BKN:07 7 BKN:07 120 (1); SCT:04 4 OVC:08 7 (1); SCT:04 4 BKN:07 9 BKN:07 120 (1),BR:1 |BR | (6); -RA:02 BR:1 |RA BR |RA (2); -RA:02 s BR:1 s |RA s BR s |RA s (2); ||BR (1),2021-01-02T21:00:00-08:00,2021-01-02T23:59:59-08:00,True,11,UNKNOWN,Unknown hourly station,,,USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",37.7705,-122.4269,Hourly LCDv2 weather used for 9 PM to midnight,"Skate route '20:26:59 - SNS' occurred on 2021-01-02. Hourly weather from Unknown hourly station (UNKNOWN) was summarized for 9 PM to midnight local time. Mean temperature was 53.7°F (Cool). Hourly precipitation totaled 0.032 inches with 4 rainy hour(s), categorized as Light rain from 9 PM to midnight. Mean wind was 2.4 mph, max wind 9.0 mph, max gust nan mph (Calm / light wind). Minimum visibility was 0.5 miles (Very low visibility). Present weather codes/summary: BR:1 |BR | (6); -RA:02 BR:1 |RA BR |RA (2); -RA:02 s BR:1 s |RA s BR s |RA s (2); ||BR (1). Sky conditions: BKN:07 4 OVC:08 8 (4); SCT:04 6 OVC:08 10 (2); SCT:04 4 BKN:07 7 BKN:07 120 (1); SCT:04 4 OVC:08 7 (1); SCT:04 4 BKN:07 9 BKN:07 120 (1). The local downtown station SAN FRANCISCO DOWNTOWN, CA US (USW00023272) recorded 0.200 inches of daily precipitation, categorized as Light downtown daily rain.",2021-01-02 20:26:59 - SNS,4558021724,2021-01-02T20:26:59-08:00,2021-01-02T22:55:49-08:00,NOAA NCEI legacy route weather pipeline,NOAA NCEI,Unknown hourly station,legacy_fixed_local_window,,,,,
2021-01-08,20:33:14 - FNS,https://handicapskater.com/common/maps/20210108-20_33_14-FNS-4590146633.html,True,False,True,No recorded rain from 9 PM to midnight,Light downtown daily rain,0.0,0.0,0,0.04,54.888888888888886,48.0,60.0,Cool,48.666666666666664,79.88888888888889,4.444444444444445,7.0,,291.5717997226065,Calm / light wind,9.0,9.875,Good visibility,CLR:00 (2); FEW:02 23 (2); SCT:04 200 (1); BKN:07 9 OVC:08 19 (1); FEW:02 10 BKN:07 21 (1),,2021-01-08T21:00:00-08:00,2021-01-08T23:59:59-08:00,True,9,UNKNOWN,Unknown hourly station,,,USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",37.7705,-122.4269,Hourly LCDv2 weather used for 9 PM to midnight,"Skate route '20:33:14 - FNS' occurred on 2021-01-08. Hourly weather from Unknown hourly station (UNKNOWN) was summarized for 9 PM to midnight local time. Mean temperature was 54.9°F (Cool). No hourly precipitation was recorded in the 9 PM to midnight window. Mean wind was 4.4 mph, max wind 7.0 mph, max gust nan mph (Calm / light wind). Minimum visibility was 9.0 miles (Good visibility). Sky conditions: CLR:00 (2); FEW:02 23 (2); SCT:04 200 (1); BKN:07 9 OVC:08 19 (1); FEW:02 10 BKN:07 21 (1). The local downtown station SAN FRANCISCO DOWNTOWN, CA US (USW00023272) recorded 0.040 inches of daily precipitation, categorized as Light downtown daily rain.",2021-01-08 20:33:14 - FNS,4590146633,2021-01-08T20:33:14-08:00,2021-01-08T22:56:40-08:00,NOAA NCEI legacy route weather pipeline,NOAA NCEI,Unknown hourly station,legacy_fixed_local_window,,,,,
2021-01-09,20:37:15 - SNS,https://handicapskater.com/common/maps/20210109-20_37_15-SNS-4598121593.html,False,False,False,No recorded rain from 9 PM to midnight,No downtown daily rain,0.0,0.0,0,0.0,54.142857142857146,48.0,60.0,Cool,43.857142857142854,69.85714285714286,6.285714285714286,8.0,,286.98791428146603,Calm / light wind,10.0,10.0,Good visibility,CLR:00 (3); FEW:02 180 BKN:07 200 (2); FEW:02 180 SCT:04 200 (1),,2021-01-09T21:00:00-08:00,2021-01-09T23:59:59-08:00,True,7,UNKNOWN,Unknown hourly station,,,USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",37.7705,-122.4269,Hourly LCDv2 weather used for 9 PM to midnight,"Skate route '20:37:15 - SNS' occurred on 2021-01-09. Hourly weather from Unknown hourly station (UNKNOWN) was summarized for 9 PM to midnight local time. Mean temperature was 54.1°F (Cool). No hourly precipitation was recorded in the 9 PM to midnight window. Mean wind was 6.3 mph, max wind 8.0 mph, max gust nan mph (Calm / light wind). Minimum visibility was 10.0 miles (Good visibility). Sky conditions: CLR:00 (3); FEW:02 180 BKN:07 200 (2); FEW:02 180 SCT:04 200 (1).",2021-01-09 20:37:15 - SNS,4598121593,2021-01-09T20:37:15-08:00,2021-01-09T22:55:09-08:00,NOAA NCEI legacy route weather pipeline,NOAA NCEI,Unknown hourly station,legacy_fixed_local_window,,,,,
2021-01-16,20:35:36 - SNS,https://handicapskater.com/common/maps/20210116-20_35_36-SNS-4633276625.html,False,False,False,No recorded rain from 9 PM to midnight,No downtown daily rain,0.0,0.0,0,0.0,60.75,52.0,70.0,Mild,49.875,69.625,5.125,10.0,,269.403504502943,Breezy,10.0,10.0,Good visibility,CLR:00 (3); FEW:02 6 FEW:02 180 SCT:04 200 (2); FEW:02 180 SCT:04 200 (1); FEW:02 6 FEW:02 180 BKN:07 200 (1),,2021-01-16T21:00:00-08:00,2021-01-16T23:59:59-08:00,True,8,UNKNOWN,Unknown hourly station,,,USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",37.7705,-122.4269,Hourly LCDv2 weather used for 9 PM to midnight,"Skate route '20:35:36 - SNS' occurred on 2021-01-16. Hourly weather from Unknown hourly station (UNKNOWN) was summarized for 9 PM to midnight local time. Mean temperature was 60.8°F (Mild). No hourly precipitation was recorded in the 9 PM to midnight window. Mean wind was 5.1 mph, max wind 10.0 mph, max gust nan mph (Breezy). Minimum visibility was 10.0 miles (Good visibility). Sky conditions: CLR:00 (3); FEW:02 6 FEW:02 180 SCT:04 200 (2); FEW:02 180 SCT:04 200 (1); FEW:02 6 FEW:02 180 BKN:07 200 (1).",2021-01-16 20:35:36 - SNS,4633276625,2021-01-16T20:35:36-08:00,2021-01-16T22:48:11-08:00,NOAA NCEI legacy route weather pipeline,NOAA NCEI,Unknown hourly station,legacy_fixed_local_window,,,,,
